code,title,sido,sigungu,lat,lng,first_seen_at,last_seen_at
VFV36,GS25검단선우점,인천,서구,37.5927736107991,126.711040872999,2026-04-30,2026-04-30
VFV37,GS25신천솔렌스점,대구,동구,35.8728079622599,128.624423147694,2026-04-30,2026-04-30
VFV38,GS25함안산업단지점,경남,함안군,35.2918362995623,128.31301032648,2026-04-30,2026-04-30
VFV39,GS25물금KTX점,경남,양산시,35.3069195234906,128.986956042334,2026-04-30,2026-04-30
VFV42,GS25수원율현점,경기,수원시,37.2854245528191,126.980701756519,2026-04-30,2026-04-30
VFV43,GS25의왕대현점,경기,의왕시,37.3553112172787,126.966032809333,2026-04-30,2026-04-30
VFV44,GS25성정구름점,충남,천안시,36.8234623420989,127.143839056065,2026-04-30,2026-04-30
VFV46,GS25명지안전체험관점,부산,강서구,35.1056668340592,128.923982616141,2026-04-30,2026-04-30
VFV48,GS25장안화이트점,서울,동대문구,37.5641039231086,127.067872132454,2026-04-30,2026-04-30
VFV49,GS25상계계상점,서울,노원구,37.6629843304431,127.066752222483,2026-04-30,2026-04-30
VFV53,GS25광안오션테라스점,부산,수영구,35.1547958638629,129.128792096375,2026-04-30,2026-04-30
VFV54,GS25대구산격센타점,대구,북구,35.8980680797656,128.607640046995,2026-04-30,2026-04-30
VFV55,GS25동작우체국점,서울,동작구,37.497694265985,126.924301109169,2026-04-30,2026-04-30
VFV56,GS25서부현대점,울산,동구,35.5290165398154,129.432817396685,2026-04-30,2026-04-30
VFV58,GS25울산서부점,울산,동구,35.529478652507,129.431094581645,2026-04-30,2026-04-30
VFV59,GS25뉴용현1동점,인천,미추홀구,37.4552789272675,126.656946025235,2026-04-30,2026-04-30
VFV62,GS25상주희망점,경북,상주시,36.4289788945353,128.158674990393,2026-04-30,2026-04-30
VFV63,GS25김해안동푸르지오점,경남,김해시,35.2380289162514,128.913310270932,2026-04-30,2026-04-30
VFV66,GS25목동13단지점,서울,양천구,37.5162477746216,126.86652543978,2026-04-30,2026-04-30
VFV67,GS25김해생림행운점,경남,김해시,35.3257903968972,128.850054411041,2026-04-30,2026-04-30
VFV69,GS25논현으뜸점,서울,강남구,37.5080383763672,127.030620934567,2026-04-30,2026-04-30
VFV72,GS25탄방도솔점,대전,서구,36.3434368883241,127.391135878829,2026-04-30,2026-04-30
VFV73,GS25청라호반1차점,인천,서구,37.537186995594,126.651836349464,2026-04-30,2026-04-30
VFV74,GS25뉴신길야구장점,경기,안산시,37.3386723918286,126.760802722628,2026-04-30,2026-04-30
VFV75,GS25현대목동점,서울,양천구,37.5268531538154,126.875031307347,2026-04-30,2026-04-30
VFV76,GS25마포체육센터점,서울,마포구,37.5579326621805,126.897314347387,2026-04-30,2026-04-30
