"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at","current_month_file"
"28756","경주양남월성점","경상북도 경주시 양남면 동해안로 606","","","35.6964840828977","129.473478685039","2024-12-23","","06:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28757","사천피닉스센트럴점","경상남도 사천시 동금1길 9-5","105호","","34.9334206249521","128.078426860816","2024-12-24","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28760","부평하이츠점","인천광역시 부평구 안남로15번길 27","1층","","37.4849227497971","126.715287698778","2024-12-24","","00:00","00:00",1,0,0,1,1,0,1,0,1,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28761","광주건국초교점","광주광역시 북구 첨단연신로108번길 113","1층","","35.2096936829299","126.864942061477","2025-01-06","","06:00","01:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28762","양지센텀점","경기도 용인시 처인구 양지면 남곡로 27","","","37.2307905343129","127.284016070296","2025-01-16","","06:00","01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28764","속초체스터톤스점","강원특별자치도 속초시 엑스포로 109","B1F","","38.1943746235504","128.579976605787","2024-12-29","","00:00","00:00",1,0,0,1,1,0,0,0,1,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28765","여의도순복음점","서울특별시 영등포구 국회대로76길 25","제2교육관 1층","","37.53010009306","126.923667900439","2025-01-01","","08:00","17:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28766","대전갈마타운점","대전광역시 서구 계룡로 367번길 27(갈마동)","","","36.353969912574","127.36992029897","2024-12-26","","00:00","00:00",1,1,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28767","단계아파트점","강원특별자치도 원주시 단구로 36","","","37.3451104764612","127.936784485395","2025-01-07","","07:00","01:00",0,1,0,0,0,0,0,1,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28768","노원역점","서울특별시 노원구 상계로 64","","","37.6557918268818","127.062277905261","2024-12-27","","08:00","02:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
